user,degree_w,betweenness,eigenvector
u_00000,4196,0.2844479501341339,0.5286985894575249
u_00001,2616,0.12099985955686235,0.4089780808615782
u_00002,1772,0.06738643827296799,0.31801947078281234
u_00003,1643,0.05603109478610877,0.27281493930296674
u_00004,1321,0.05903662879252879,0.2027705509155496
u_00005,1137,0.047420855024752205,0.18094994556048893
u_00006,1008,0.02828337197433729,0.158086142573136
u_00007,1014,0.03902511120575461,0.14835370589249217
u_00008,848,0.03021995191795718,0.14136132695384662
u_00009,757,0.018725277008542967,0.13619768032578097
u_00011,627,0.015490591528997897,0.09797320752385036
u_00012,592,0.015964524461183106,0.09768041613019061
u_00013,518,0.008277447110428106,0.09414024555898073
u_00010,637,0.01384019636401863,0.09069629261993688
u_00014,476,0.0077043187527868935,0.08462923440037814
u_00015,479,0.01077727396389561,0.07708866340137602
u_00016,447,0.0073724218428827875,0.07452058394257721
u_00017,533,0.013619078798614464,0.07379517055487872
u_00018,452,0.0063379842499314675,0.07305358411538676
u_00020,424,0.010009222028440743,0.07165570144881322
u_00021,430,0.005414325248901948,0.07157370038358458
u_00024,331,0.005473720250356944,0.06561730642036274
u_00019,423,0.010366623684268514,0.06302859725283326
u_00023,366,0.006491666890492563,0.05927224708919108
u_00031,304,0.006224626663987381,0.05919277463193714
u_00025,323,0.004525503913485247,0.05856841834144001
u_00022,371,0.005169697874333119,0.058408032411752644
u_00027,281,0.003105101438618966,0.05174782023602917
u_00030,322,0.00375208997612589,0.0517279179201358
u_00026,281,0.003067173032807215,0.04877162329698209
u_00032,239,0.0019880320670921377,0.04683916550313126
u_00037,250,0.003963442403806206,0.04438565019555828
u_00033,246,0.0019492562640792152,0.04353452484990307
u_00036,226,0.0019369195758548573,0.04314086538576613
u_00029,291,0.003923115748718209,0.04294369314626056
u_00038,231,0.0017057819353223063,0.041930770042572764
u_00046,241,0.003219243404329917,0.0389823119946248
u_00035,236,0.003935253236653492,0.037224619370665464
u_00028,301,0.0038755256765753586,0.03708040306185317
u_00042,211,0.002414147820644504,0.03659051404111325
u_00041,266,0.0053166748350051305,0.036410632789692574
u_00034,230,0.003212352346361705,0.036317789091249525
u_00049,240,0.003321862691571404,0.03560600240216285
u_00050,188,0.001049990391592701,0.03501870290247241
u_00040,219,0.005875832715634187,0.033939219426204856
u_00070,177,0.0013356191890998102,0.03222288984423267
u_00043,198,0.00142851148814696,0.03133820711975484
u_00044,210,0.009135204262450791,0.030987324272555763
u_00053,242,0.0030115068908782086,0.030938764638916788
u_00057,179,0.0011968992716455441,0.030347162514686436
u_00047,234,0.0022042123433605155,0.029752067122355452
u_00048,204,0.0026494489164532544,0.029705081666743797
u_00055,193,0.0020028474239776667,0.0293731605359228
u_00056,174,0.0016309939781688253,0.028895913217300343
u_00039,204,0.00294669438835769,0.028750843569803067
u_00058,144,0.0009535960578288898,0.028712146853090256
u_00052,159,0.0015410062806443558,0.028673548482947453
u_00092,157,0.0012690171915527564,0.02854971827251025
u_00065,170,0.0014205615425194234,0.02756677409538749
u_00099,125,0.0012063051957471591,0.02739239289267487
u_00066,173,0.0010043370154319785,0.02722428995176108
u_00060,167,0.0014346016623643933,0.026775861110303226
u_00098,109,0.0009839311975343957,0.02625875833878607
u_00059,159,0.001993612691918684,0.0260264865935713
u_00079,155,0.00136933776390042,0.025625831737833553
u_00064,162,0.0009736587192630133,0.025478887791546626
u_00051,172,0.0012090162023917599,0.02537232991881196
u_00054,153,0.0007298827451289302,0.024930320630281846
u_00068,190,0.0029393165052908642,0.02489391412161965
u_00083,171,0.0019694497850591833,0.02462933721675788
u_00063,160,0.001218713238013683,0.024612887650948694
u_00076,152,0.0007817917902460209,0.02452668565729738
u_00045,194,0.0019308100779310757,0.024435580524376284
u_00073,129,0.0010382625693422308,0.02412595107441487
u_00087,185,0.0028858017361580754,0.02331276223344821
u_00072,155,0.0022163609728421273,0.022970765627229862
u_00081,114,0.0006183621999827221,0.02296049032912616
u_00071,136,0.0007064670766376225,0.022262179826114968
u_00093,133,0.0008891478440708702,0.022245237824612137
u_00075,130,0.0014090830449144185,0.022011544203660523
u_00062,145,0.0007666206050857692,0.0219575376196292
u_00061,151,0.0023343722625153093,0.021752952161079
u_00080,137,0.0014053934051481475,0.020979327797414852
u_00067,118,0.0010732636507448257,0.02058276046550399
u_00088,112,0.0009914594688592779,0.020519759754670523
u_00114,97,0.00046801970349856444,0.020467843270864018
u_00074,143,0.0009293083092519319,0.020288343397593545
u_00085,114,0.0005005480838178049,0.020276234445915628
u_00077,138,0.002263339279354684,0.020051208453744855
u_00107,114,0.0007994152742137561,0.019789317736652105
u_00128,91,0.00018274111464048332,0.01960779461174777
u_00090,132,0.0019523035100054193,0.01952406146720715
u_00134,118,0.0012264855673575833,0.019171087663244095
u_00127,94,0.0005664172280663432,0.01913386643325435
u_00069,145,0.002431888622591016,0.01910656576413084
u_00124,130,0.0014674147658547175,0.018987041785822282
u_00155,88,0.00015537099385868155,0.01892651332607654
u_00084,142,0.0022570441493733146,0.018895091278875585
u_00109,102,0.00040064453970835333,0.018875832646885967
u_00122,98,0.000624050234960412,0.01885182454101755
u_00094,97,0.0007766997809570158,0.01867493571733722
u_00078,117,0.000466176170087535,0.018542728461774842
u_00120,139,0.0008272889829206711,0.01847880010549362
u_00097,101,0.002332295867222394,0.017891269993668475
u_00102,102,0.0006198647640867186,0.017564381793418047
u_00135,69,0.0001365412544377673,0.017559738341113174
u_00130,101,0.0002521014146465542,0.017447891765236062
u_00086,121,0.0011089854072056998,0.017364895771632333
u_00166,77,0.00016332840690281515,0.0172255653750946
u_00101,125,0.001881539184879484,0.017164028131978017
u_00095,143,0.0015201035975946926,0.01711224961346519
u_00159,68,0.00015257577761459786,0.01692359366449604
u_00171,92,0.0008603831743934877,0.016763369449158263
u_00192,88,0.0005385187659314204,0.016679411793120942
u_00140,87,0.00037453317090888364,0.01664412173221772
u_00089,113,0.00041742416256228336,0.016583613009099864
u_00105,111,0.0005695466846907151,0.01658139857015092
u_00151,107,0.001057375529516487,0.016551142236024233
u_00103,106,0.0007933681738275649,0.016527470304817875
u_00198,105,0.00048459117641616443,0.016154462676670044
u_00123,78,0.0004520367050790007,0.016054621880030054
u_00156,91,0.0006371362344437282,0.015999300350781873
u_00082,121,0.0010197166569415332,0.015904945759762316
u_00147,74,0.00034664723521029753,0.015794470535421254
u_00108,78,0.0005871370907376382,0.015769338106707484
u_00096,104,0.0006464786237215228,0.015535834724818395
u_00161,63,0.00034645043977920263,0.015469849878618493
u_00197,83,0.00035835430646425823,0.015456866507736646
u_00125,100,0.0006923287979031858,0.015396421345281007
u_00404,52,0.00021816752273187237,0.015094792589962693
u_00112,105,0.0009359151787703233,0.014955661766465315
u_00118,75,0.00038119373803995136,0.0149354452416202
u_00395,78,0.0007732738831822782,0.014896686298713383
u_00379,78,0.0003242015648940404,0.014870163031377974
u_00144,80,0.00021902586220916542,0.01463614348528155
u_00172,69,0.0006694376849091695,0.01456143865966225
u_00136,78,0.00021299665294257408,0.014504526166291646
u_00214,68,0.00023469863647441826,0.014473813578075338
u_00163,86,0.000530184620837188,0.014465387369079588
u_00106,86,0.00020811766700659485,0.014380872139330751
u_00442,76,0.0005478801110225201,0.014255072552659185
u_00113,85,0.000718974842936507,0.014203310949134332
u_00175,63,0.00017861421585694433,0.014189550045041797
u_00157,61,0.00019959493423630302,0.014074915877723096
u_00309,73,0.00023825050070797174,0.01400271755591263
u_00104,95,0.0020163240674565077,0.013999063741733552
u_00115,79,0.00016499641231131637,0.013946429535642102
u_00165,80,0.0004019693671740438,0.01392773787182241
u_00119,103,0.0005020526653513114,0.01383595297925483
u_00110,98,0.0007885514733507083,0.013647194404179044
u_00179,68,0.00038093222867452566,0.013645370624691717
u_00131,84,0.00037221824395580055,0.013499717357480645
u_00154,80,0.0003957135029162252,0.01338050309707553
u_00126,85,0.0010348857283463875,0.013269692615780081
u_01712,39,0.00016833365768251834,0.013256954544506965
u_00267,79,0.0006417146825457635,0.013130733969967775
u_00145,88,0.0005704222813786942,0.013088949161655887
u_00132,108,0.000394872512923627,0.013037408731419488
u_00116,108,0.0005379830480307064,0.012920826661504504
u_00149,88,0.0006678518967323121,0.012756954519270619
u_00245,67,0.00047435192572093277,0.012750145168581752
u_00153,78,0.0006446706772266724,0.012700217180656314
u_00417,60,0.00020661410858137342,0.012631768299556744
u_00137,68,0.00029822557704495506,0.012279162413721257
u_00239,72,0.000373516935052408,0.012252561266518747
u_00158,68,0.000589198533567579,0.012213073244791553
u_00150,76,0.00024349434186188152,0.012156159648923037
u_00174,84,0.00023802485514474322,0.012141205566890722
u_00255,63,0.0009342905922335462,0.012095185783405892
u_00138,98,0.0013838318047740767,0.012088191283560722
u_00117,63,0.00027303222666163855,0.012069090358155265
u_00111,91,0.0005345588150094488,0.012036336037295087
u_00177,70,0.00027529099294631987,0.011994388793971265
u_00394,73,0.0002864993433491835,0.011831185727520755
u_00141,67,0.0005218103601598281,0.01164434284209711
u_00188,67,0.0007200858864952115,0.011643780450131952
u_00139,93,0.000341655453544256,0.011598939205418714
u_00199,67,0.00028863858631547894,0.011566479066129445
u_00184,89,0.0007622837252157346,0.011557370929729313
u_00299,64,0.00033298062723217215,0.011511125603934315
u_00190,57,0.00014601069548340897,0.011487213149035896
u_00240,51,9.53401141871238e-05,0.011449999330280852
u_00173,55,0.00017551004647384184,0.011437499455744418
u_00162,51,0.0010241451946417179,0.011385867858685965
u_00439,34,5.627065081535623e-05,0.011384188935916686
u_00356,58,0.00023618665460406772,0.011381204038648455
u_00129,81,0.0003751360048368847,0.011378103794911432
u_00236,48,0.00029445006926599943,0.011339441811573389
u_00204,62,0.0002127149717386696,0.01130126416120985
u_00160,78,0.0003157130496477746,0.011297780653690631
u_00259,51,0.0005118134830385297,0.011232843665818476
u_00176,51,0.00012847633696179674,0.011158578646361264
u_00194,70,0.00027241266164577157,0.011151122195255067
u_00368,39,0.00021714483532267142,0.011081206226944279
u_02113,37,8.184991067783338e-05,0.011057919325002061
u_01535,33,0.00027156457694144223,0.011053128712967784
u_00316,47,2.8608697100758016e-05,0.011026588592462572
u_00208,60,0.00023737451658707785,0.010993545402147392
u_00681,70,0.0006382427160668026,0.01098372990163217
u_00186,64,0.000287934310813189,0.010961413866892663
u_00209,74,0.00025256815581291324,0.010920246544235434
u_00133,59,8.30573137469401e-05,0.010918272828951421
u_00100,77,0.0008890765746882768,0.010910417757202341
u_00630,31,4.9956332854960073e-05,0.01090447191400787
u_00274,75,0.00029442742249487344,0.010899325740145628
u_00178,54,0.00011257315127145101,0.01089683840338336
u_00195,58,0.00041683137438999036,0.010847979580026505
u_00317,40,9.89827724262049e-05,0.010808706792099125
u_00238,64,0.00031857703067988415,0.01079806229351945
u_01506,35,0.00014146520442638534,0.010779495089864847
u_00250,65,0.0003684960444538813,0.01072443137076816
u_00266,47,0.00042958772059743816,0.010706484018076654
u_01564,37,9.312763434063998e-05,0.010638607184419092
u_00187,67,0.0002605494817126247,0.010593577496432863
u_00333,66,0.0002580506991408904,0.010553323067721308
u_00319,47,0.0002622484763174964,0.01052154281716788
u_00358,71,0.00032530193631238224,0.010464899950550522
u_00241,72,0.0008995289230405991,0.010449208341616254
u_00182,71,0.0006673051160094068,0.010433214869009857
u_00256,51,0.00013913427932716062,0.010418480763105234
u_00834,39,5.947010261356159e-05,0.010376641956404427
u_00091,91,0.0006005705849495292,0.010365883728790952
u_00749,38,4.8079824505592623e-05,0.010354304356809584
u_00882,50,0.00057652775376996,0.010349101076347646
u_00196,55,0.00010850288056834868,0.010343803859301736
u_00234,66,0.0002371951157997943,0.010306580449460895
u_00295,48,0.0002619868009590339,0.010302476078825295
u_00340,41,5.983410628006819e-05,0.010301312964288512
u_00338,52,0.00033411123335573616,0.01025531766747657
u_00260,59,0.0003904721155584985,0.010226613818566578
u_00438,41,0.00029102258522391544,0.010225465239155667
u_00323,56,0.00031069041898380324,0.010190212466773693
u_00164,84,0.0009596321561294505,0.010147116120043135
u_00476,51,9.242474073935006e-05,0.010097317771635493
u_00212,60,0.0005505907103478455,0.010047376737949292
u_00296,58,0.00040266305717395263,0.010022332849542615
u_00235,54,0.00022990823673498185,0.010008130106998114
u_00684,30,5.4652952317322004e-05,0.009995493898049653
u_00271,56,9.93266893602438e-05,0.00998021589801602
u_00248,60,0.00018786756659184295,0.009968393940971251
u_00335,56,0.00014551867657633486,0.009961242114250864
u_00217,45,8.441772609490268e-05,0.009958656702931439
u_00457,44,9.403388204406523e-05,0.009951901647627763
u_00189,75,0.00017485611643613654,0.009900665626967483
u_00143,57,0.00011330071576114128,0.009816693082906648
u_00354,44,0.00020879007336609465,0.00980453785357588
u_00409,43,0.00021824743250579732,0.00979596794550742
u_00469,57,0.000383478250625955,0.009787188397503989
u_00405,48,9.598172838746837e-05,0.009783372326260252
u_00231,54,0.00020939877883678385,0.009728213323051007
u_00407,37,3.676301124985086e-05,0.00969505032328842
u_00207,48,0.0002487045865703403,0.00965055245125426
u_00450,55,0.0004006065159516819,0.009645486197002383
u_00152,73,0.000329360780462763,0.009620746536244217
u_00279,75,0.001429046840311869,0.009588948836390615
u_00370,35,6.53255764227245e-05,0.009560990371056712
u_00365,45,4.771087703177579e-05,0.009524222196962707
u_00387,52,0.0003178764116091268,0.009522403004370145
u_00523,65,0.00034156085804420326,0.009514843947257313
u_00270,56,0.0011028368584393277,0.009454278087833863
u_00168,66,0.0001915793707280411,0.009389661979894754
u_00419,46,0.0003398088485832297,0.00938496539119134
u_00334,51,0.0002308394018483207,0.009384615368407163
u_00766,49,0.00017320826836547033,0.009350999389021725
u_00219,53,0.00032500240269655624,0.009344239336982535
u_00413,57,0.0001900242440171491,0.00931731031638076
u_00272,33,1.1949799749418866e-05,0.009263754647948133
u_00321,29,0.0004019370643236347,0.009220245885250665
u_00213,68,0.0006137581983449411,0.00921619613005536
u_00595,31,1.3647428242292401e-05,0.009210983831867331
u_00382,33,0.001306278422588978,0.009201678213774057
u_00246,67,0.00026478632954815887,0.009189103209490157
u_00218,49,0.00010025090644883857,0.009139826635149916
u_00402,22,2.571751642342003e-05,0.009121763229552689
u_00242,54,9.54219931914045e-05,0.009092458648164914
u_00280,57,0.000250067438352445,0.00904316793401948
u_00286,55,0.00011525760680333136,0.008992278245172076
u_00148,77,0.0002051254229233461,0.008984560459604909
u_00201,64,0.0001892109935598075,0.008976412399629251
u_02045,31,5.504210137622277e-05,0.00893227748456946
u_00269,42,0.00018030346310925687,0.008920574905557312
